"","Isolate","TVClass","WUR","Sex","RIN"
"ENSSSCG00000000002",0.785233547454781,0.771918894193606,0.494858359797518,0.975605642157128,0.63947238732561
"ENSSSCG00000000003",0.28433358024323,0.866053185887232,0.304333183868741,0.736800047589243,0.798577943073483
"ENSSSCG00000000005",0.0756706183470007,0.0169278865075025,0.697930933160082,0.491491467863057,0.0486213581538834
"ENSSSCG00000000006",0.846179577231915,0.262166411069038,0.193660218570644,0.455603363024877,0.880584846431342
"ENSSSCG00000000007",0.533449871508797,0.605790164889893,0.463279752081734,0.499399976510819,0.393264310515396
"ENSSSCG00000000010",0.0437789516285325,0.683147017291542,0.672384615220436,0.900974036153125,0.399475194086337
"ENSSSCG00000000014",0.54283740336118,0.302255680755116,0.129448330666707,0.848809735979632,0.640402850473968
"ENSSSCG00000000018",0.0604881506659192,0.642836772078434,0.609744291596868,0.340458673097147,0.688066849365079
"ENSSSCG00000000019",0.102601626380126,0.718338914053918,0.778445570455073,0.894684837918833,0.983680898971438
"ENSSSCG00000000022",0.780598296753566,0.228637521818574,0.703508992074254,0.29693216104743,0.137307030595523
"ENSSSCG00000000024",0.250587706917648,0.788069965632834,0.224185760084851,0.810754513574926,0.969248800798432
"ENSSSCG00000000025",0.0442664131337744,0.0341340676112353,0.0881143198491086,0.108537153338276,0.475263951004335
"ENSSSCG00000000031",0.83622722771665,0.525546686493639,0.984478202924747,0.222567954389674,0.76693396357002
"ENSSSCG00000000033",0.3381067279102,0.0567106358723356,0.976123720244665,0.152858052382453,0.0360814553839148
"ENSSSCG00000000034",0.610063496914785,0.97400266153858,0.327786286239529,0.251089337158842,0.132690641332737
"ENSSSCG00000000035",0.843276569443423,0.493844807589089,0.0413743114113915,0.388994882685332,0.622081729627798
"ENSSSCG00000000036",0.0839846547926594,0.716512516767641,0.0694214806870947,0.166940051380486,0.127816327049992
"ENSSSCG00000000037",0.520394854189513,0.129944821482123,0.231625040176763,0.242273384867402,0.181370027705574
"ENSSSCG00000000038",0.753268470429155,0.646413695016419,0.415279547537771,0.951423012596753,0.0275159127914032
"ENSSSCG00000000039",0.795995793181848,0.126882208514562,0.469526878494216,0.307986491268659,0.820862388834705
"ENSSSCG00000000040",0.830310429145343,0.0638249954191518,0.727653971034922,0.11449670360702,0.608929101226389
"ENSSSCG00000000045",0.088932837849288,0.829263252344532,0.909755895346657,0.0481826666712495,0.538453973426034
"ENSSSCG00000000046",0.887352365172003,0.756182736396625,0.827695505754687,0.529646214041527,0.223668130641739
"ENSSSCG00000000050",0.408573420648877,0.971715385199596,0.569741016501603,0.15025918776789,0.970321378076775
"ENSSSCG00000000058",0.100162179134948,0.0308242854646708,0.193108444852254,0.714874957081203,0.0573022183228125
"ENSSSCG00000000059",0.047594583674724,0.367843143516478,0.195605752830358,0.0633783163709253,0.459811069012014
"ENSSSCG00000000061",0.491401592125598,0.037232008792223,0.835373720526306,0.0870095647055809,0.083790093998523
"ENSSSCG00000000063",0.874987355231263,0.454494296787972,0.548473617982222,0.669614951578347,0.7033847196333
"ENSSSCG00000000064",0.785622801383184,0.3321440452061,0.305448988115217,0.701145912589115,0.031526608048569
"ENSSSCG00000000066",0.190514725055183,0.218358637947848,0.751921669621034,0.209188577457853,0.415127507579406
"ENSSSCG00000000068",0.001049916786372,0.622064720090442,0.160890396696446,0.182556755229661,0.0362474411706966
"ENSSSCG00000000071",0.0189921729041458,0.768973432559122,0.540020820615216,0.607748008795617,0.254003440139349
"ENSSSCG00000000072",0.0395681009279168,0.789090620105466,0.0569335031291019,0.817509886697691,0.566921359305169
"ENSSSCG00000000075",0.0356857644669663,0.222379180084463,0.527138459669889,0.547736181928916,0.456565439656423
"ENSSSCG00000000076",0.450556285600026,0.140587014442883,0.451204028274612,0.050472450875159,0.295457032644662
"ENSSSCG00000000077",0.777332523080501,0.766543766559236,0.481011594457788,0.539039801364667,0.996923106090028
"ENSSSCG00000000078",0.00123500555561539,0.568823369582807,0.242508151042749,0.494927368113881,0.0683175100365178
"ENSSSCG00000000079",0.0406966049613452,0.773116987388563,0.00334124505128605,0.627501544492618,0.978389892497138
"ENSSSCG00000000080",0.0144769132532438,0.0980725077627838,0.160773697130688,0.491717124876583,0.43666772585853
"ENSSSCG00000000083",0.0722014098136958,0.135269311306735,0.149303446956679,0.22278424695375,0.00406781190966135
"ENSSSCG00000000084",0.442685187077101,0.0875671025350115,0.2611929248084,0.301878515489167,0.0281532071430642
"ENSSSCG00000000087",0.552599250363101,0.133541235264142,0.121221364794209,0.943376449345228,0.014863147413649
"ENSSSCG00000000089",0.757805569235038,0.20448756186391,0.680423496960867,0.190741369713501,0.709476180939823
"ENSSSCG00000000090",0.475397864718733,0.184101926397854,0.658954580191025,0.293022021374254,0.3288795229213
"ENSSSCG00000000091",0.196026780525715,0.15598099100806,0.468885544522753,0.0550578599737768,0.873158573154877
"ENSSSCG00000000093",0.688764806548959,0.0452628910193416,0.275261889568116,0.963893080533271,0.385562301300312
"ENSSSCG00000000094",0.770629783581774,0.773127191420054,0.803084560288069,0.400515982026277,0.621549757800412
"ENSSSCG00000000095",0.00354552702710568,0.620086822969803,0.949631110346584,0.811589867390261,0.450863554891645
"ENSSSCG00000000097",0.16202127586609,0.345637290744033,0.0685113528985439,0.785527711438555,0.0324487938417047
"ENSSSCG00000000104",0.564678674152819,0.836703091640619,0.501501695614278,0.65026119208248,0.615640043634866
"ENSSSCG00000000105",0.0219794832631266,0.808845077048219,0.103590598561218,0.640972448362132,0.559839283471742
"ENSSSCG00000000107",0.32738792155814,0.400006301878113,0.713002521515806,0.573006819075391,0.244004464385039
"ENSSSCG00000000108",0.58189545389787,0.679144369052244,0.329182664201805,0.474412096821967,0.796347469727383
"ENSSSCG00000000110",0.975472377078399,0.681787548652719,0.108988445067637,0.716387147139015,0.422482291389478
"ENSSSCG00000000114",0.816924599210889,0.854052389631262,0.168532566215944,0.713689462528279,0.831067976972314
"ENSSSCG00000000116",0.651236090716351,0.801093674798777,0.684335700342667,0.298686164159379,0.878494333597626
"ENSSSCG00000000117",0.450954425515975,0.11556687787327,0.0933571447969197,0.502976440391031,0.240442185955851
"ENSSSCG00000000118",0.581779195538644,0.968257977506639,0.167291522197204,0.862641003051461,0.845544146973591
"ENSSSCG00000000119",0.031834444298894,0.52793694903695,0.471959153747058,0.120476026379519,0.0357464021709849
"ENSSSCG00000000120",0.795684614403137,0.138245183302835,0.187736539071285,0.662475065239056,0.716427381460888
"ENSSSCG00000000130",0.0108794636087545,0.0132155489570311,0.306476309631256,0.0128472970206651,0.850063513718644
"ENSSSCG00000000133",0.355832786881802,0.329304530798683,0.472425319288084,0.797974436188337,0.627715597628378
"ENSSSCG00000000135",0.655132592641182,0.473131229803965,0.40608080513697,0.289447229159173,0.141389541523634
"ENSSSCG00000000136",0.0830424977142361,0.0331181481798902,0.13430827259921,0.370933151478894,0.227937463861062
"ENSSSCG00000000137",0.456664635308936,0.132368502718674,0.373331196853456,0.0084820532317349,0.111924943145514
"ENSSSCG00000000141",0.383147918591508,0.475634015270231,0.0856953963757157,0.0853501621135637,0.19982625773812
"ENSSSCG00000000142",0.745126719993302,0.711937166374398,0.792001924936984,0.111207297412909,0.0439489907775676
"ENSSSCG00000000144",0.991877898648467,0.0419980036079474,0.015098349474254,0.0305819513505031,0.319837567775095
"ENSSSCG00000000145",0.101514356285954,0.108852029293719,0.372537125566977,0.325019173587433,0.148414184291795
"ENSSSCG00000000146",0.0938894323671995,0.24910454137512,0.531548685305393,0.579720447074588,0.209733489544552
"ENSSSCG00000000148",0.0335317370304318,0.410124509244983,0.52475525772346,0.195442635103033,0.325834226078844
"ENSSSCG00000000152",0.846223903888196,0.0330656988785809,0.192743452635003,0.0601329488600058,0.799777175591223
"ENSSSCG00000000156",0.926044961320128,0.535076388234793,0.374413752411188,0.480375404291048,0.107369568319457
"ENSSSCG00000000157",0.256454662462778,0.0557099114273281,0.42163165755052,0.0107636637356103,0.0181990616574291
"ENSSSCG00000000158",0.913666842897419,0.533278791218922,0.41230816663355,0.0949851726726808,0.838349252663514
"ENSSSCG00000000160",0.520803781418751,0.0503435948350816,0.82465098276982,0.713513290803023,0.0849193457840528
"ENSSSCG00000000161",0.924318211630277,0.908132502813553,0.737783700705158,0.470319651026332,0.0546349919434845
"ENSSSCG00000000162",0.461668731554338,0.42925656332831,0.000383938847678859,0.0420069732385539,0.453305359279401
"ENSSSCG00000000164",0.346477361749889,0.14555036891749,0.138701291795755,0.139671017328208,0.142141178178761
"ENSSSCG00000000167",0.426182478071117,0.945574451927511,0.0832921199741851,0.439221716501497,0.0438981439871415
"ENSSSCG00000000169",0.912268009716853,0.776945441938087,0.963026463228649,0.691290456528258,0.167707278792259
"ENSSSCG00000000171",0.724142343195198,0.113596938531021,0.699566442525304,0.275228383791434,0.0204655199737174
"ENSSSCG00000000175",0.345911481328509,0.0494530727038965,0.304397881819458,0.0837894422320545,0.791742235126569
"ENSSSCG00000000176",0.0713305719742493,0.501041578717167,0.723019277377898,0.0456357979966511,0.00119140570982879
"ENSSSCG00000000179",0.945474903417696,0.327512143778228,0.071380627966485,0.586793354371068,0.182015735011842
"ENSSSCG00000000180",0.429871810709129,0.049660535172611,0.538325972154466,0.972540288840811,0.22158030344383
"ENSSSCG00000000182",0.179547806147574,0.960045161532449,0.852779214672956,0.73406667295194,0.0526446072098731
"ENSSSCG00000000184",0.537354845586999,0.173717514362062,0.0665884600362315,0.79433792724432,0.602324728989986
