"","Isolate2","TVClassL","WUR1","Sex","RIN"
"ENSSSCG00000000002",-0.0327475368042294,0.0329682874736722,0.0863963376804394,-0.00364349205627403,-0.0336470054127012
"ENSSSCG00000000003",-0.11846413412299,-0.0175496224788303,-0.120920988985995,0.0366032268788898,0.0167026119450919
"ENSSSCG00000000005",-0.366443829371381,-0.473042594088666,-0.08226967548033,-0.13813789896928,0.236979788765576
"ENSSSCG00000000006",0.0376576331863944,0.206762224692235,0.263071193575932,0.144396639531942,0.0174290358056294
"ENSSSCG00000000007",-0.0925331448943856,0.0724865985166272,-0.116133616647114,0.09962628596104,0.074853213351514
"ENSSSCG00000000010",0.301913642023731,0.0566922539869859,-0.064918817912492,-0.0181190810688005,-0.0734203194197226
"ENSSSCG00000000014",0.0707538399577087,-0.113738833816729,0.183989043139805,-0.0219204036531355,0.0320553991036966
"ENSSSCG00000000018",0.22079870826474,0.050828242603304,0.0617738946682805,0.109692238084392,-0.0276581614448445
"ENSSSCG00000000019",0.128915211360586,0.0266967911404191,-0.0229915553170662,-0.0102250495926377,0.000949377552615658
"ENSSSCG00000000022",0.0425503575897106,-0.17538083504769,0.0605357502914786,0.158396247589939,-0.138480335597366
"ENSSSCG00000000024",0.232028840085878,-0.0510038859023001,-0.26524037619794,-0.0476630513741639,0.00452064272816715
"ENSSSCG00000000025",0.232797300301807,-0.232886965012722,-0.206333497753718,-0.182926847776451,-0.0481717287426173
"ENSSSCG00000000031",-0.0307005905389789,-0.0895654159384593,-0.00309020230476304,-0.181362265259373,-0.0264914759046532
"ENSSSCG00000000033",-0.158249249885517,-0.302795732530851,0.00525648266564437,-0.234547756406352,-0.214744118358986
"ENSSSCG00000000034",-0.0588128067172633,-0.00356162854875883,-0.119012611495061,0.131503061741339,-0.104527091998423
"ENSSSCG00000000035",0.0287472561211626,0.094410370246114,-0.33305019620472,0.124667780914787,0.0421464169206302
"ENSSSCG00000000036",0.144232914502113,0.0284462968826012,-0.159661922909952,-0.113687276731486,-0.075705099946604
"ENSSSCG00000000037",-0.0450502573389325,-0.101304207259062,0.087533606631958,0.081371229597435,0.0560418984770244
"ENSSSCG00000000038",0.041449516967334,-0.0572860291273938,0.111986681542222,-0.00796536322797068,-0.179129985873242
"ENSSSCG00000000039",0.0177074272573776,0.10040243134694,0.0518570332055834,-0.0694495658227115,-0.00926900736815732
"ENSSSCG00000000040",-0.0372098236187415,-0.310232443821605,0.062968766720953,-0.274980978252385,-0.0534731585003376
"ENSSSCG00000000045",-0.283995682941962,-0.0335791386348615,0.0196019338498352,0.327325758798885,-0.0614343470158497
"ENSSSCG00000000046",-0.0330292097302003,-0.0686928328164449,0.0541854981238851,-0.145556238641469,-0.175320624351199
"ENSSSCG00000000050",0.0802842693642651,-0.00324877749252074,0.0575235901049476,-0.139519031001446,-0.00214353502720735
"ENSSSCG00000000058",-0.203241617782175,-0.254994068548175,-0.169393243692146,0.0439695833262661,-0.140874815504197
"ENSSSCG00000000059",-0.261921436134476,-0.111172777681031,-0.181371662709822,-0.241739001402149,-0.0574498913404679
"ENSSSCG00000000061",0.100247569859092,-0.292402907260391,-0.0319744648733942,-0.24970673076935,0.146878403136532
"ENSSSCG00000000063",-0.0208768307493084,0.0941684998148602,0.0848999190051724,0.0562279314358771,-0.0302663934306371
"ENSSSCG00000000064",0.0267328822447846,-0.0908256021155752,-0.106420815491021,-0.0373365229411011,-0.12895418035736
"ENSSSCG00000000066",0.123898509975402,-0.110071028839118,0.0309121649300304,-0.11782882539772,-0.0452171734955074
"ENSSSCG00000000068",0.269484417950563,0.0368338316336022,0.115873730620996,-0.104004002427687,0.0998686264741784
"ENSSSCG00000000071",-0.23059933336585,0.026771035685394,-0.0616960754958685,-0.0486130530109711,-0.0659352456251941
"ENSSSCG00000000072",-0.244536729694428,-0.0294735910073864,0.23403498751331,-0.0266178547552722,0.0404224536852375
"ENSSSCG00000000075",0.19715419761439,-0.107482835421583,-0.0610517341096531,-0.0548410186037234,-0.0409088955136345
"ENSSSCG00000000076",-0.162016807218533,-0.302834438041473,-0.173830644738208,0.421455205659928,-0.136529896275888
"ENSSSCG00000000077",-0.0371020020631597,-0.0369016562409192,-0.0992510907117079,-0.0800268066476959,0.000299736508548952
"ENSSSCG00000000078",0.338982741500574,0.0544082470514721,0.123068364300943,-0.0676516245931417,0.110472534892269
"ENSSSCG00000000079",-0.381992598834669,0.0500072671763546,0.568042201008237,0.0878614244907088,0.00299433411177844
"ENSSSCG00000000080",0.36663382514789,-0.230751584349988,0.21221628980817,-0.0992921824851393,0.0657782650196708
"ENSSSCG00000000083",0.337371685618001,-0.265074668272302,-0.291756785186736,-0.224390952104818,-0.330693363446283
"ENSSSCG00000000084",0.0925173876262634,-0.197769394333774,-0.142630722453574,-0.123496035835908,-0.16139636284857
"ENSSSCG00000000087",0.0528292338245658,-0.127340573525951,-0.147608928861226,-0.00624734165280218,-0.132995776266776
"ENSSSCG00000000089",0.0603064696524046,-0.237035789191107,0.0849717425194803,-0.255355321477109,-0.0434515615984701
"ENSSSCG00000000090",0.101718601885558,-0.180362264953093,0.0661608595388619,-0.148797053385094,-0.0832785206278757
"ENSSSCG00000000091",0.172481613337504,-0.179429265170608,0.0992737063188922,-0.256667784627298,0.0124803107339655
"ENSSSCG00000000093",-0.0554546584164008,0.268278594401788,-0.167190921236684,0.00623200360155818,-0.0729916659850395
"ENSSSCG00000000094",0.0206890946535459,-0.0194971248631125,-0.0185593428900444,0.0592352529732803,-0.0209558038626064
"ENSSSCG00000000095",0.19394474608725,-0.0300563928604372,0.0042153629482772,-0.0150818310657102,0.028648329748119
"ENSSSCG00000000097",-0.202691265397761,-0.128801886242636,-0.288937804566876,-0.038567357889771,-0.189769255484695
"ENSSSCG00000000104",0.0303337546980203,0.0103665688335364,-0.0372885923629736,0.023616525227845,0.0158687658232621
"ENSSSCG00000000105",0.523126432411448,-0.0510854120215411,-0.40385173497471,-0.103003326476407,-0.0771986768914652
"ENSSSCG00000000107",0.102076862251368,-0.0828506437016436,-0.0400010332991515,-0.0580732774675642,-0.0721538494294465
"ENSSSCG00000000108",0.0628079597662767,-0.0445252643386805,-0.118227793457054,0.0808034631798523,-0.0173464589702333
"ENSSSCG00000000110",0.00429771869747563,-0.0542304050814942,0.235546599083433,-0.0504414040216215,-0.0676795487385237
"ENSSSCG00000000114",0.0335130175906078,-0.0252185796826985,-0.220265056804575,0.0527605227272904,-0.0181847873095871
"ENSSSCG00000000116",-0.0787461709691921,-0.0414510263336219,0.0747881335211139,0.180262202215509,-0.0158100634668848
"ENSSSCG00000000117",-0.113060959857578,0.22529518482986,0.263334541244546,0.0997807459364668,0.107149852531715
"ENSSSCG00000000118",-0.0574262777616526,-0.00392820694982523,0.150275409662102,0.0178306417092196,-0.0120929787157775
"ENSSSCG00000000119",-0.19615881687245,-0.0537158288848917,-0.0677055283865636,-0.138822286905228,-0.115113066861088
"ENSSSCG00000000120",0.0375661025672015,-0.205978041264593,-0.208713187656109,-0.0627150942573077,-0.0310674347068014
"ENSSSCG00000000130",0.275861570477156,-0.253964155166652,-0.112745129749061,-0.266905630435437,-0.0117100994512792
"ENSSSCG00000000133",-0.187022671085941,0.187100998208845,0.154273506945803,0.05120454735074,-0.059524842944597
"ENSSSCG00000000135",-0.10111499417943,-0.154467474402464,-0.205499697753042,0.238149733398689,-0.204849674518741
"ENSSSCG00000000136",-0.216235863151624,-0.255247942675166,-0.19563055237892,-0.109123352806567,-0.0893378778759369
"ENSSSCG00000000137",0.077555060950506,-0.149701043884687,-0.0985177654865821,-0.28099381717174,-0.100008517310929
"ENSSSCG00000000141",-0.0845368605349963,-0.0657032655611571,-0.177414971639985,-0.166621152028493,-0.0746613821827057
"ENSSSCG00000000142",0.0420770923775847,-0.0453374563004219,-0.0366609887757691,-0.206684000013068,-0.162500751951161
"ENSSSCG00000000144",-0.0012048158048567,-0.23334158094308,-0.324426842582583,-0.259074803893397,-0.0702147300186107
"ENSSSCG00000000145",0.178096458056938,0.166870750567155,0.101328225136015,-0.104998844089716,-0.0944526545327545
"ENSSSCG00000000146",0.301690051205404,0.196379403875239,-0.117419667820607,0.0977410588268917,-0.134947466051814
"ENSSSCG00000000148",0.366346270665284,-0.131694582833278,0.111322313228945,-0.218605667700019,0.0977254694765537
"ENSSSCG00000000152",-0.021757661067622,0.231165256398233,0.154156290833955,0.2124577765226,0.0170460387216214
"ENSSSCG00000000156",-0.0104751196503862,0.0664766142886307,-0.10868829425515,-0.0793048741705077,0.108925631628095
"ENSSSCG00000000157",-0.324163953933857,0.522552007863959,0.240838810003707,0.742705342620787,0.408672171926168
"ENSSSCG00000000158",0.00887969873812157,0.0483557906568477,0.0705508090364125,-0.137456459755161,0.00998249599577159
"ENSSSCG00000000160",-0.0777668616677244,0.228135117774605,0.0282267326918734,0.0441217368917852,0.125332344683318
"ENSSSCG00000000161",-0.0109008599100104,0.0125404663921608,0.0407642518365947,0.0824627075503173,-0.136076524900597
"ENSSSCG00000000162",0.0919734274250194,0.093612188483452,0.481521413708199,0.255949717966791,0.0557260555348028
"ENSSSCG00000000164",-0.122187544092986,0.180154249883086,-0.212244939714289,0.191279482919104,0.113455850713397
"ENSSSCG00000000167",0.0813852426269845,0.00658254733059021,0.185346370813583,-0.0783989707034412,0.123666226703567
"ENSSSCG00000000169",0.0127327425588533,-0.0309264681706779,0.00560316563648818,0.045428805703499,0.0943058868514794
"ENSSSCG00000000171",-0.0525972594649908,-0.22646507484834,-0.0610684828810773,-0.161280860998648,-0.214248499715114
"ENSSSCG00000000175",-0.110090101728376,0.219864468896644,0.126065745355835,0.202200146312963,0.0185071242100102
"ENSSSCG00000000176",0.189623715041439,0.0661750017908086,-0.0385562144532168,-0.209401139079611,-0.212905444461735
"ENSSSCG00000000179",-0.0139188059815369,0.189197122049451,0.384172762485444,0.110110117624647,0.163941126235778
"ENSSSCG00000000180",0.0890964778440706,-0.212999771827863,-0.0740062317004297,-0.00383265563538789,-0.082244423189782
"ENSSSCG00000000182",-0.33532876584372,0.0117574718339657,-0.0492038954011705,0.0830022856907808,-0.30373296024934
"ENSSSCG00000000184",0.170503648259739,-0.361430435496286,-0.580213574153305,-0.0708996517723396,-0.0852352753565807
"ENSSSCG00000000185",0.155011155400757,-0.0428591084571579,0.0525827355599974,-0.150518510329892,0.00230337932920997
"ENSSSCG00000000189",0.0923822375610364,-0.289218705751987,0.187690237545073,-0.0128488857385573,0.0270062649983768
"ENSSSCG00000000190",-0.11529222573945,-0.103037370780391,-0.326047678890115,-0.109127765795715,-0.221820056005383
"ENSSSCG00000000191",0.413407885983461,-0.0326543288876467,0.0433107077327087,-0.081650197296062,0.0584536640235472
"ENSSSCG00000000194",-0.159218182497689,0.141995336466796,0.0653785197323632,-0.253681395142373,-0.17318779917394
"ENSSSCG00000000199",-0.0473103675251957,0.00299477975572396,-0.0435178548937194,0.0083391630486342,0.0426174546287417
"ENSSSCG00000000202",0.0284643975631467,-0.0569206352171238,-0.237235247491561,0.107972374246223,-0.120025409461057
"ENSSSCG00000000204",0.335233267409399,-0.0849274196321,0.0880313563592945,-0.0169957520496324,0.0249742100090924
